restaurant,RestaurantID,RestaurantName,RestaurantCity,RestaurantAttributes
00000158C,158C,Russian Palace,Chicago,Cab Good Decor Dining After the Theater Good Food $15-$30 Private Parties Private Rooms Available Quiet for Conversation Relaxed Senior Scene Romantic Russian Good Service Weekend Brunch 
00000159C,159C,Klay Oven,Chicago,Business Scene Cab Excellent Decor Extraordinary Food Indian $15-$30 Excellent Service 
00000160C,160C,La Paella,Chicago,Excellent Decor Excellent Food $15-$30 Parking/Valet Romantic Excellent Service Short Drive Spanish Traditional Weekend Brunch 
00000161C,161C,Honda,Chicago,Business Scene Cab Excellent Decor Excellent Food Good Out of Town Business Japanese $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service 
00000162C,162C,Shaw's Crab House & Blue Crab,Chicago,Business Scene Cab Excellent Decor Extraordinary Food Good Out of Town Business Great Place to Meet for a Drink $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Seafood Weekend Brunch 
00000163C,163C,Catch 35,Chicago,Business Scene Cab Excellent Decor Dancing Entertainment Excellent Food Good Out of Town Business Great Place to Meet for a Drink $15-$30 Parking/Valet Power Brokers Private Parties Private Rooms Available Excellent Service Seafood 
00000164C,164C,GIBSONS BAR & STEAKHOUSE,Chicago,Cab Excellent Decor Extraordinary Food Good Out of Town Business Great Place to Meet for a Drink Great for People Watching Hip Place To Be $30-$50 Parking/Valet Place for Singles Private Parties Private Rooms Available Pub Feel Extraordinary Service See the Game Singles Scene Steakhouses Tourist Appeal Very Busy - Reservations a Must Weekend Brunch 
00000165C,165C,Le Loup Cafe,Chicago,Good Decor Dining Outdoors Excellent Food French (New) $15-$30 Excellent Service Short Drive Weekend Brunch 
00000166C,166C,Barry's Ribs & More,Chicago,American (Traditional) Bar-B-Q Fair Decor Delivery Available Excellent Food Good for Younger Kids Long Drive below $15 Parking/Valet Good Service Takeout Available Weekend Brunch 
00000167C,167C,Grand and Wells Tap,Chicago,Business Scene Cab Good Decor Excellent Food $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Steakhouses Weekend Brunch 
00000168C,168C,TALLGRASS,Chicago,An Out Of The Way Find Cab Extraordinary Decor Near-perfect Food French (New) Need To Dress $30-$50 Private Parties Private Rooms Available Quiet for Conversation Romantic Extraordinary Service Very Busy - Reservations a Must Weekend Brunch 
00000169C,169C,Primavera,Chicago,Business Scene Cab Classic Hotel Dining Extraordinary Decor Dancing Entertainment Excellent Food Italian $30-$50 Parking/Valet Extraordinary Service 
00000170C,170C,Trattoria Ginotto,Chicago,Good Decor Excellent Food Italian Little Known But Well Liked Long Drive $15-$30 Parking/Valet Excellent Service Weekend Brunch 
00000171C,171C,Bruna's Ristorante,Chicago,Good Decor Excellent Food Italian $15-$30 Excellent Service Short Drive Weekend Brunch 
00000172C,172C,Costa d'Oro,Chicago,Business Scene Cab Extraordinary Decor Extraordinary Food Good Out of Town Business Italian $30-$50 Parking/Valet Quiet for Conversation Excellent Service Up and Coming Very Busy - Reservations a Must 
00000173C,173C,Tien Tsin,Chicago,Carry in Wine and Beer Chinese Good Decor Excellent Food Long Drive $15-$30 Excellent Service Weekend Brunch 
00000174C,174C,Bistro Europa,Chicago,An Out Of The Way Find Continental Excellent Decor Excellent Food Long Drive $15-$30 Parking/Valet Private Parties Private Rooms Available Quiet for Conversation Romantic Excellent Service Up and Coming Weekend Brunch 
00000175C,175C,Sage's,Chicago,American (Traditional) Business Scene Classic Hotel Dining Excellent Decor Extraordinary Food Good Out of Town Business Long Drive $15-$30 Parking/Valet Private Parties Private Rooms Available Extraordinary Service 
00000176C,176C,Mei Shung,Chicago,Carry in Wine and Beer Chinese Fair Decor Excellent Food $15-$30 Good Service Short Drive 
00000177C,177C,Ceiling Zero,Chicago,Continental Excellent Decor Excellent Food French (New) Long Drive $15-$30 Parking/Valet Excellent Service Weekend Brunch 
00000178C,178C,Lino's,Chicago,Business Scene Cab Excellent Decor Extraordinary Food Good Out of Town Business Italian $15-$30 Parking/Valet Power Brokers Excellent Service 
00000179C,179C,Nookies Tree,Chicago,American (Traditional) Fair Decor Good Food For the Young and Young at Heart Good for Younger Kids No Reservations Open for Breakfast below $15 Good Service Short Drive Weekend Brunch 
00000180C,180C,El Dinamico Dallas,Chicago,Caribbean Carry in Wine and Beer Good Decor Delivery Available Good Food No Reservations $15-$30 Good Service Short Drive Takeout Available Weekend Brunch 
00000181C,181C,Staropolska,Chicago,Buffet Dining Good Decor Good Food $15-$30 Parking/Valet Polish Relaxed Senior Scene Good Service Short Drive Weekend Brunch 
00000182C,182C,Grecian Taverna,Chicago,Good Decor Excellent Food Greek $15-$30 Relaxed Senior Scene Good Service Short Drive 
00000183C,183C,Jack Gibbons Garden,Chicago,Good Decor Extraordinary Food Little Known But Well Liked Long Drive No Reservations $15-$30 Parking/Valet Excellent Service Steakhouses Weekend Brunch 
00000184C,184C,Adagio,Chicago,Good Decor Dancing Entertainment Good Food Italian $15-$30 Parking/Valet Private Parties Private Rooms Available Good Service Short Drive Walk Weekend Brunch 
00000185C,185C,Thai 55th,Chicago,Fair Decor Excellent Food Long Drive below $15 Good Service Traditional Thai 
00000186C,186C,Rosebud,Chicago,Excellent Decor Extraordinary Food Italian $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Short Drive Traditional Very Busy - Reservations a Must Weekend Brunch 
00000187C,187C,MONTPARNASSE,Chicago,An Out Of The Way Find Business Scene Extraordinary Decor Near-perfect Food Fabulous Wine Lists French (New) Good Out of Town Business Long Drive $30-$50 Parking/Valet Private Parties Private Rooms Available Romantic Extraordinary Service Very Busy - Reservations a Must 
00000188C,188C,Tavern in the Town,Chicago,American (New) An Out Of The Way Find Extraordinary Decor Extraordinary Food Little Known But Well Liked Long Drive $15-$30 Parking/Valet Private Parties Private Rooms Available Extraordinary Service 
00000189C,189C,Cafe Spiaggia,Chicago,Cab Extraordinary Decor Extraordinary Food Italian $15-$30 Extraordinary Service Weekend Brunch 
00000190C,190C,La Bella Pasteria,Chicago,Excellent Decor Excellent Food Italian Long Drive $15-$30 Excellent Service Weekend Brunch 
00000191C,191C,Hubbard Street Grill,Chicago,American (New) Business Scene Cab Excellent Decor Excellent Food Great Place to Meet for a Drink Hip Place To Be $15-$30 Parking/Valet Excellent Service Up and Coming Weekend Brunch 
00000192C,192C,Walker Bros.,Chicago,American (Traditional) Excellent Decor Extraordinary Food For the Young and Young at Heart Good for Younger Kids Long Drive Open for Breakfast below $15 Relaxed Senior Scene Excellent Service 
00000193C,193C,Mykonos,Chicago,Excellent Decor Excellent Food Greek Long Drive $15-$30 Parking/Valet Excellent Service Weekend Brunch 
00000194C,194C,Estaloca,Chicago,Cab Good Decor Dining Outdoors Good Food $15-$30 Good Service Tex-Mex 
00000195C,195C,N.N. Smokehouse,Chicago,Bar-B-Q Good Decor Dancing Entertainment Good Food No Smoking Allowed $15-$30 Good Service Short Drive 
00000196C,196C,Tra Via,Chicago,Creative Excellent Decor Extraordinary Food Italian Little Known But Well Liked $15-$30 Parking/Valet Excellent Service Short Drive Weekend Brunch 
00000197C,197C,Michael Jordan's,Chicago,American (New) Business Scene Cab Excellent Decor Good Food Great for People Watching Hip Place To Be $15-$30 Parking/Valet People Keep Coming Back Private Parties Private Rooms Available Pub Feel Good Service See the Game Singles Scene Weekend Brunch 
00000198C,198C,Mill Race Inn,Chicago,American (Traditional) An Out Of The Way Find Cab Extraordinary Decor Dining Outdoors Excellent Food $15-$30 Parking/Valet Private Parties Private Rooms Available Relaxed Senior Scene Excellent Service Weekend Brunch 
00000199C,199C,LE VICHYSSOIS,Chicago,An Out Of The Way Find Extraordinary Decor Extraordinary Food Fabulous Wine Lists French (New) Game Long Drive Need To Dress $30-$50 Parking/Valet Private Parties Private Rooms Available Prix Fixe Menus Quiet for Conversation Romantic Extraordinary Service Very Busy - Reservations a Must Walk Weekend Brunch 
00000200C,200C,Cy's Crab House,Chicago,Fair Decor Good Food $15-$30 Parking/Valet Good Service Seafood Short Drive Weekend Brunch 
00000201C,201C,Red Lion Pub,Chicago,Authentic Excellent Decor English Good Food No Reservations below $15 Place for Singles Pub Feel Good Service See the Game Short Drive Singles Scene Traditional Weekend Brunch 
00000202C,202C,Mama Desta's Red Sea,Chicago,Fair Decor Ethiopian Excellent Food below $15 Good Service Short Drive Weekend Brunch 
00000203C,203C,Zinfandel,Chicago,American (Regional) Business Scene Cab Excellent Decor Extraordinary Food Great Place to Meet for a Drink $15-$30 Parking/Valet Excellent Service Up and Coming Weekend Brunch 
00000204C,204C,Breakfast Club,Chicago,American (Traditional) Creative Cab Good Decor Excellent Food No Reservations Open for Breakfast below $15 Relaxed Senior Scene Excellent Service 
00000205C,205C,Thai Room,Chicago,Cab Good Decor Extraordinary Food below $15 Relaxed Senior Scene Excellent Service Thai Wheelchair Access 
00000206C,206C,Golden Ox,Chicago,An Historic Spot Excellent Decor Dancing Entertainment Excellent Food Game German $15-$30 Parking/Valet Private Parties Private Rooms Available Relaxed Senior Scene Excellent Service Short Drive Weekend Brunch 
00000207C,207C,El Presidente,Chicago,After Hours Dining Carry in Wine and Beer Fair Decor Dining Outdoors Good Food Late Night Menu Mexican No Reservations below $15 Good Service Short Drive Weekend Brunch 
00000208C,208C,Lloyd's,Chicago,American (Traditional) Business Scene Cab Good Decor Good Food $15-$30 Good Service Traditional 
00000209C,209C,Gilardi's,Chicago,Excellent Decor Excellent Food Italian Long Drive $15-$30 Parking/Valet Excellent Service Weekend Brunch 
00000210C,210C,Szechwan Palace,Chicago,Buffet Dining Chinese Good Decor Excellent Food Long Drive $15-$30 Private Parties Private Rooms Available Excellent Service Weekend Brunch 
00000211C,211C,La Cantina,Chicago,Business Scene Cab Excellent Decor Excellent Food Italian $15-$30 Parking/Valet Excellent Service 
00000212C,212C,Daniel J's,Chicago,American (New) Creative Good Decor Extraordinary Food $15-$30 Quiet for Conversation Excellent Service Short Drive Up and Coming Weekend Brunch 
00000213C,213C,Sabatino's,Chicago,Excellent Decor Excellent Food Italian $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Short Drive Weekend Brunch 
00000214C,214C,Tehran,Chicago,Good Decor Excellent Food below $15 Persian Good Service Short Drive 
00000215C,215C,Lutnia,Chicago,Excellent Decor Excellent Food $15-$30 Polish Relaxed Senior Scene Excellent Service Short Drive Traditional Weekend Brunch 
00000216C,216C,Stevie B's,Chicago,Bar-B-Q Fair Decor Delivery Available Excellent Food For the Young and Young at Heart Good for Younger Kids $15-$30 Parking/Valet Good Service Short Drive Takeout Available Weekend Brunch 
00000217C,217C,Tommy Nevin's Pub,Chicago,After Hours Dining Good Decor Dancing Entertainment Good Food Irish Late Night Menu Long Drive $15-$30 Good Service Weekend Brunch 
00000218C,218C,Zaven's,Chicago,Cab Continental Extraordinary Decor Extraordinary Food $30-$50 Parking/Valet Private Parties Private Rooms Available Extraordinary Service 
00000219C,219C,Dick's Last Resort,Chicago,After Hours Dining American (Traditional) Cab Good Decor Dancing Dining Outdoors Eclectic Entertainment Good Food For the Young and Young at Heart Good for Younger Kids Late Night Menu $15-$30 People Keep Coming Back Place for Singles Pub Feel Good Service See the Game Singles Scene Weekend Brunch 
00000220C,220C,Twin Anchors,Chicago,An Historic Spot Bar-B-Q Good Decor Extraordinary Food $15-$30 Excellent Service Short Drive Traditional Weekend Brunch 
00000221C,221C,Leona's on Taylor,Chicago,Good Decor Excellent Food For the Young and Young at Heart Good for Younger Kids Italian $15-$30 Parking/Valet Pizza Private Parties Private Rooms Available Relaxed Senior Scene Good Service Short Drive Weekend Brunch 
00000222C,222C,Parthenon,Chicago,After Hours Dining Cab Good Decor Excellent Food Greek Late Night Menu $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Traditional Tourist Appeal Very Busy - Reservations a Must Weekend Brunch 
00000223C,223C,Avanzare,Chicago,Business Scene Cab Extraordinary Decor Dining Outdoors Extraordinary Food Good Out of Town Business Great Place to Meet for a Drink Hip Place To Be Italian $30-$50 Private Parties Private Rooms Available Romantic Extraordinary Service Weekend Brunch 
00000224C,224C,Duke of Perth,Chicago,Authentic Excellent Decor Good Food below $15 Place for Singles Pub Feel Excellent Service Scottish See the Game Short Drive Singles Scene Weekend Brunch 
00000225C,225C,Cafe La Cave,Chicago,An Out Of The Way Find Continental Extraordinary Decor Extraordinary Food Long Drive $30-$50 Parking/Valet Private Parties Private Rooms Available Quiet for Conversation Romantic Extraordinary Service Very Busy - Reservations a Must Weekend Brunch 
00000226C,226C,Froggy's,Chicago,An Out Of The Way Find Excellent Decor Extraordinary Food French Bistro Game Long Drive $15-$30 Private Parties Private Rooms Available Prix Fixe Menus Quiet for Conversation Romantic Extraordinary Service 
00000227C,227C,Hard Rock Cafe,Chicago,Cab Excellent Decor Eclectic Good Food For the Young and Young at Heart Good for Younger Kids Hamburgers Hip Place To Be No Reservations $15-$30 Parking/Valet People Keep Coming Back Private Parties Private Rooms Available Pub Feel Quirky Good Service See the Game Singles Scene Tourist Appeal Weekend Brunch 
00000228C,228C,Nana's,Chicago,Cab Fair Decor Delivery Available Dining Outdoors Excellent Food Italian $15-$30 Excellent Service Takeout Available 
00000229C,229C,Tuscany,Chicago,Business Scene Excellent Decor Extraordinary Food Italian $15-$30 Parking/Valet Power Brokers Excellent Service Short Drive Very Busy - Reservations a Must Weekend Brunch 
00000230C,230C,Scoozi!,Chicago,Business Scene Cab Extraordinary Decor Extraordinary Food Great for People Watching Hip Place To Be Italian $15-$30 Parking/Valet Pizza Excellent Service Tourist Appeal Weekend Brunch 
00000231C,231C,Itto Sushi,Chicago,Good Decor Excellent Food Japanese $15-$30 Parking/Valet Excellent Service Short Drive 
00000232C,232C,Tucci Milan,Chicago,Cab Excellent Decor Excellent Food Italian $15-$30 Parking/Valet Power Brokers Excellent Service Traditional Weekend Brunch 
00000233C,233C,Gusto Italiano,Chicago,Authentic Good Decor Dining Outdoors Excellent Food Italian Long Drive $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Traditional 
00000234C,234C,Bertucci's Pizzeria,Chicago,Cab Good Decor Good Food For the Young and Young at Heart Good for Younger Kids Italian below $15 Parking/Valet Pizza Good Service Traditional Weekend Brunch 
00000235C,235C,Song Huong,Chicago,Carry in Wine and Beer Fair Decor Extraordinary Food Little Known But Well Liked below $15 Relaxed Senior Scene Good Service Short Drive Vietnamese Weekend Brunch 
00000236C,236C,Vita,Chicago,Business Scene Cab Good Decor Good Food Italian $15-$30 Parking/Valet Good Service Up and Coming 
00000237C,237C,Gandhi Indian,Chicago,Buffet Dining Fair Decor Excellent Food Indian $15-$30 Good Service Short Drive 
00000238C,238C,Salaam,Chicago,American (Traditional) Buffet Dining Continental Good Decor Good Food Long Drive No Liquor Served No Smoking Allowed $15-$30 Parking/Valet Private Parties Private Rooms Available Good Service Weekend Brunch 
00000239C,239C,Spavone's Seven Hills,Chicago,Excellent Decor Excellent Food Italian Long Drive $15-$30 Parking/Valet Private Parties Private Rooms Available Relaxed Senior Scene Excellent Service Weekend Brunch 
00000240C,240C,Mondelli's on Grand,Chicago,Cab Good Decor Excellent Food Italian $15-$30 Excellent Service Weekend Brunch 
00000241C,241C,La Perla del Mediterraneo,Chicago,Excellent Decor Dancing Entertainment Extraordinary Food Long Drive Mediterranean $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Very Busy - Reservations a Must Weekend Brunch 
00000242C,242C,LE TITI DE PARIS,Chicago,An Out Of The Way Find Extraordinary Decor Near-perfect Food Fabulous Wine Lists French Game Long Drive Need To Dress $30-$50 Parking/Valet Pre-theater Dining Private Parties Private Rooms Available Quiet for Conversation Romantic Near-perfect Service Very Busy - Reservations a Must 
00000243C,243C,Pappagallo's,Chicago,Good Decor Good Food Italian Long Drive $15-$30 Parking/Valet Relaxed Senior Scene Good Service 
00000244C,244C,Spasso,Chicago,An Out Of The Way Find Creative Extraordinary Decor Extraordinary Food Italian Little Known But Well Liked Long Drive $15-$30 Parking/Valet Private Parties Private Rooms Available Romantic Extraordinary Service Weekend Brunch 
00000245C,245C,Joe-n-Giuseppe,Chicago,Excellent Decor Extraordinary Food Italian Long Drive $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Weekend Brunch 
00000246C,246C,GABRIEL'S,Chicago,An Out Of The Way Find Extraordinary Decor Near-perfect Food French (New) Good Out of Town Business Hip Place To Be Italian Long Drive Need To Dress $30-$50 Private Parties Private Rooms Available Prix Fixe Menus Quiet for Conversation Romantic Extraordinary Service Up and Coming Very Busy - Reservations a Must 
00000247C,247C,Tecalitan,Chicago,After Hours Dining Good Decor Excellent Food Late Night Menu Mexican below $15 Good Service Short Drive Weekend Brunch 
00000248C,248C,Oodles of Noodles,Chicago,Asian Good Decor Good Food Fine for Dining Alone $15-$30 Good Service Short Drive Weekend Brunch 
00000249C,249C,Tutto Bene,Chicago,Cab Excellent Decor Excellent Food Italian $15-$30 Parking/Valet Excellent Service Traditional Weekend Brunch 
00000250C,250C,Cape Cod Room,Chicago,An Historic Spot Business Scene Cab Classic Hotel Dining Extraordinary Decor Extraordinary Food Good Out of Town Business Need To Dress $30-$50 Parking/Valet Extraordinary Service Seafood Weekend Brunch 
00000251C,251C,Nhu Hoa Cafe,Chicago,Fair Decor Excellent Food below $15 Good Service Short Drive Vietnamese 
00000252C,252C,Father and Son Pizza,Chicago,After Hours Dining Good Decor Good Food For the Young and Young at Heart Good for Younger Kids Italian Late Night Menu below $15 Parking/Valet People Keep Coming Back Pizza Good Service Short Drive Traditional Weekend Brunch 
00000253C,253C,Geja's Cafe,Chicago,Good Decor Dancing Entertainment Good Food Fabulous Wine Lists Fondue $15-$30 Parking/Valet Romantic Good Service Short Drive Very Busy - Reservations a Must Walk Weekend Brunch 
00000254C,254C,Gavroche,Chicago,After Hours Dining Good Decor Dancing Entertainment Excellent Food French Bistro Late Night Menu $15-$30 Excellent Service Short Drive 
00000255C,255C,Mandar-Inn,Chicago,Chinese Excellent Decor Extraordinary Food Little Known But Well Liked $15-$30 Private Parties Private Rooms Available Relaxed Senior Scene Excellent Service Short Drive Weekend Brunch 
00000256C,256C,Crown Room,Chicago,American (New) Cab Classic Hotel Dining Good Decor Good Food $15-$30 Good Service 
00000257C,257C,Garardo's Cafe,Chicago,Good Decor Good Food Italian Little Known But Well Liked Long Drive $15-$30 Parking/Valet Relaxed Senior Scene Good Service 
00000258C,258C,Sayat Nova,Chicago,Cab Excellent Decor Excellent Food Middle Eastern $15-$30 Quiet for Conversation Excellent Service 
00000259C,259C,Piatti,Chicago,Creative Cab Excellent Decor Dining Outdoors Excellent Food Italian Mediterranean $15-$30 Parking/Valet Private Parties Private Rooms Available Quiet for Conversation Good Service Up and Coming Weekend Brunch 
00000260C,260C,SPIAGGIA,Chicago,Cab Near-perfect Decor Extraordinary Food Good Out of Town Business Great Place to Meet for a Drink Italian Need To Dress $30-$50 Private Parties Private Rooms Available Extraordinary Service Very Busy - Reservations a Must Weekend Brunch 
00000261C,261C,Old Jerusalem,Chicago,Cab Carry in Wine and Beer Fair Decor Excellent Food Middle Eastern No Reservations below $15 Good Service 
00000262C,262C,Cafe Luciano,Chicago,Business Scene Cab Excellent Decor Dining Outdoors Excellent Food Italian $15-$30 Parking/Valet Relaxed Senior Scene Excellent Service Weekend Brunch 
00000263C,263C,Panda Panda,Chicago,Chinese Excellent Decor Excellent Food Long Drive $15-$30 Excellent Service 
00000264C,264C,Helmand,Chicago,Afghanistan Excellent Decor Extraordinary Food $15-$30 Excellent Service Short Drive Weekend Brunch 
00000265C,265C,J.P.'s Eating Place,Chicago,Good Decor Excellent Food Mexican $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Seafood Short Drive Weekend Brunch 
00000266C,266C,Via Veneto,Chicago,Good Decor Excellent Food Italian Long Drive $15-$30 Quiet for Conversation Excellent Service Weekend Brunch 
00000267C,267C,Cassis,Chicago,Cab Good Decor Good Food French (New) $15-$30 Good Service Up and Coming 
00000268C,268C,Ibis,Chicago,Good Decor Good Food $15-$30 Puerto Rican Good Service Short Drive Weekend Brunch 
00000269C,269C,Thai Star Cafe,Chicago,Cab Carry in Wine and Beer Fair Decor Excellent Food below $15 Good Service Thai 
00000270C,270C,Yasuke,Chicago,Good Decor Good Food Japanese Long Drive $15-$30 Parking/Valet Good Service 
00000271C,271C,Leona's,Chicago,Good Decor Good Food For the Young and Young at Heart Good for Younger Kids Italian Long Drive $15-$30 Parking/Valet Pizza Private Parties Private Rooms Available Relaxed Senior Scene Good Service Weekend Brunch 
00000272C,272C,La Bocca della Verita,Chicago,Good Decor Good Food Italian $15-$30 Good Service Short Drive 
00000273C,273C,Bertucci's,Chicago,Excellent Decor Excellent Food Italian No Reservations $15-$30 Excellent Service Short Drive Weekend Brunch 
00000274C,274C,Sanko,Chicago,After Hours Dining Excellent Decor Excellent Food Japanese Late Night Menu below $15 Good Service Short Drive 
00000275C,275C,Penny's Noodle Shop,Chicago,Asian Carry in Wine and Beer Chinese Good Decor Excellent Food Fine for Dining Alone No Reservations below $15 Good Service Short Drive Thai Weekend Brunch 
00000276C,276C,Lanna Thai,Chicago,Carry in Wine and Beer Good Decor Excellent Food below $15 Relaxed Senior Scene Excellent Service Short Drive Traditional Thai 
00000277C,277C,Cielo,Chicago,American (Traditional) Business Scene Cab Classic Hotel Dining Extraordinary Decor Excellent Food Italian $15-$30 Parking/Valet Excellent Service 
00000278C,278C,Charlie's Ale House,Chicago,American (Traditional) Cab Excellent Decor Dining Outdoors Good Food $15-$30 Place for Singles Pub Feel Good Service See the Game Singles Scene Weekend Brunch 
00000279C,279C,Barney's Market Club and Steak,Chicago,Business Scene Good Decor Good Food Good Out of Town Business $15-$30 Parking/Valet Good Service Steakhouses 
00000280C,280C,Dao,Chicago,Cab Fair Decor Excellent Food below $15 Good Service Thai 
00000281C,281C,Barn of Barrington,Chicago,American (Traditional) Excellent Decor Excellent Food Long Drive $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Weekend Brunch 
00000282C,282C,KIKI'S BISTRO,Chicago,Business Scene Cab Extraordinary Decor Extraordinary Food French Bistro Hip Place To Be $30-$50 Parking/Valet Power Brokers Romantic Extraordinary Service Very Busy - Reservations a Must 
00000283C,283C,La Boheme,Chicago,An Out Of The Way Find Extraordinary Decor Dining Outdoors Extraordinary Food French Long Drive Need To Dress $30-$50 Prix Fixe Menus Quiet for Conversation Romantic Extraordinary Service Very Busy - Reservations a Must Walk 
00000284C,284C,R.J. Grunts,Chicago,American (Traditional) Good Decor Excellent Food For the Young and Young at Heart Good for Younger Kids No Reservations $15-$30 Excellent Service Short Drive Weekend Brunch 
00000285C,285C,Mrs. Park's Tavern,Chicago,After Hours Dining American (New) Business Scene Cab Classic Hotel Dining Good Decor Good Food Late Night Menu $15-$30 Parking/Valet Relaxed Senior Scene Good Service Weekend Brunch 
00000286C,286C,Lucky Platter,Chicago,American (New) Creative Good Decor Excellent Food Long Drive No Reservations below $15 Excellent Service Weekend Brunch Wheelchair Access 
00000287C,287C,Sai Cafe,Chicago,Good Decor Extraordinary Food Japanese $15-$30 Excellent Service Short Drive 
00000288C,288C,Blind Faith Cafe,Chicago,Catering for Special Events Good Decor Delivery Available Excellent Food Health Conscious Menus Health Food Long Drive No Reservations No Smoking Allowed Open for Breakfast below $15 Excellent Service Takeout Available Vegetarian Weekend Brunch Wheelchair Access 
00000289C,289C,Vivo,Chicago,Cab Extraordinary Decor Excellent Food Great for People Watching Hip Place To Be Italian $15-$30 Parking/Valet Place for Singles Romantic Excellent Service Weekend Brunch 
00000290C,290C,New Japan,Chicago,An Out Of The Way Find Excellent Decor Extraordinary Food Japanese Long Drive $15-$30 Extraordinary Service 
00000291C,291C,La Canasta,Chicago,After Hours Dining Good Decor Good Food For the Young and Young at Heart Good for Younger Kids Late Night Menu $15-$30 Parking/Valet Good Service Short Drive Traditional Tex-Mex Weekend Brunch 
00000292C,292C,Thai Little Home Cafe,Chicago,Fair Decor Extraordinary Food below $15 Relaxed Senior Scene Excellent Service Short Drive Thai 
00000293C,293C,Lutz Continental Cafe & Pastry,Chicago,Bakeries Continental Excellent Decor Dining Outdoors Excellent Food Focus on Dessert Fountain and Ice Cream No Reservations below $15 Parking/Valet Relaxed Senior Scene Excellent Service Wheelchair Access 
00000294C,294C,La Sorella di Francesca,Chicago,An Out Of The Way Find Excellent Decor Dining Outdoors Extraordinary Food Italian Little Known But Well Liked Long Drive No Reservations $15-$30 Private Parties Private Rooms Available Romantic Extraordinary Service Up and Coming Weekend Brunch 
00000295C,295C,Club Lago,Chicago,Cab Good Decor Good Food Italian No Reservations $15-$30 Relaxed Senior Scene Good Service 
00000296C,296C,Red Tomato,Chicago,Creative Excellent Decor Excellent Food Italian No Reservations $15-$30 Excellent Service Short Drive Weekend Brunch 
00000297C,297C,Eddie's Collage,Chicago,American (Traditional) Good Decor Good Food $15-$30 Good Service Short Drive 
00000298C,298C,Oak Terrace,Chicago,American (Traditional) Buffet Dining Business Scene Cab Classic Hotel Dining Excellent Decor Excellent Food $15-$30 Relaxed Senior Scene Excellent Service Weekend Brunch 
00000299C,299C,CAFE BA-BA-REEBA!,Chicago,Extraordinary Decor Dining Outdoors Extraordinary Food Hip Place To Be $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Short Drive Spanish Tapas Weekend Brunch 
00000300C,300C,Matsuya,Chicago,Good Decor Extraordinary Food Japanese $15-$30 Excellent Service Short Drive 
00000301C,301C,La Margarita,Chicago,Cab Excellent Decor Excellent Food Mexican $15-$30 Excellent Service Weekend Brunch 
00000302C,302C,Salvatore's,Chicago,Cab Excellent Decor Dining Outdoors Excellent Food Italian $15-$30 Parking/Valet Private Parties Private Rooms Available Quiet for Conversation Romantic Excellent Service Weekend Brunch 
00000303C,303C,Kerouac Jack's,Chicago,Good Decor Eclectic Good Food $15-$30 Pub Feel Quirky Good Service See the Game Short Drive Singles Scene 
00000304C,304C,Belden Deli,Chicago,After Hours Dining Catering for Special Events Fair Decor Deli Good Food Jewish Late Night Menu Open for Breakfast below $15 Parking/Valet Relaxed Senior Scene Good Service Short Drive Weekend Brunch 
00000305C,305C,Galans,Chicago,Excellent Decor Excellent Food $15-$30 Parking/Valet Private Parties Private Rooms Available Relaxed Senior Scene Excellent Service Short Drive Ukranian Weekend Brunch 
00000306C,306C,Del Rio,Chicago,Good Decor Excellent Food Fabulous Wine Lists Italian Long Drive $15-$30 Excellent Service Weekend Brunch 
00000307C,307C,CARLOS',Chicago,An Out Of The Way Find Extraordinary Decor Near-perfect Food Fabulous Wine Lists French (New) Game Health Conscious Menus Hip Place To Be Long Drive Need To Dress over $50 Parking/Valet Pre-theater Dining Private Parties Private Rooms Available Prix Fixe Menus Quiet for Conversation Romantic Near-perfect Service Very Busy - Reservations a Must Weekend Brunch 
00000308C,308C,Berghoff,Chicago,An Historic Spot Cab Excellent Decor Excellent Food German $15-$30 Private Parties Private Rooms Available Relaxed Senior Scene Excellent Service Traditional Tourist Appeal Weekend Brunch 
00000309C,309C,Giannotti Steak House,Chicago,Excellent Decor Extraordinary Food Italian Long Drive $15-$30 Parking/Valet Relaxed Senior Scene Excellent Service Steakhouses Weekend Brunch 
00000310C,310C,El Tinajon,Chicago,Good Decor Delivery Available Excellent Food Guatemalan Long Drive below $15 Excellent Service Takeout Available Weekend Brunch 
00000311C,311C,Emperor's Choice,Chicago,After Hours Dining Chinese Good Decor Extraordinary Food Late Night Menu $15-$30 Excellent Service Short Drive 
00000312C,312C,Daruma,Chicago,After Hours Dining Excellent Decor Extraordinary Food Japanese Late Night Menu Long Drive $15-$30 Parking/Valet Excellent Service 
00000313C,313C,Buffalo Ranch,Chicago,Excellent Decor Good Food Good for Younger Kids Long Drive $15-$30 Parking/Valet Excellent Service Steakhouses 
